"JointSubmissionId","Institution","UnitOfAssessment","MultipleSubmission","StaffIdentifier","OutputNumber","Year","OutputType","LongTitle","ShortTitle","Pagination","Publisher","Editors","ISBN","PublicationDate","EndDate","URL","DOI","OtherDetails","EnglishAbstract","ResearchGroup","IsInterdisciplinary","NumberofAdditionalAuthors","CoAuthor1","CoAuthor1External","CoAuthor2","CoAuthor2External","CoAuthor3","CoAuthor3External"
,"0149",22,,930275,2,,"D","Bayes model averaging with selection of regressors","64","519-536","Journal of the Royal Statistical Society, Series B",,"1369-7412",2002-Aug-01,,,"10.1111/1467-9868.00348",,,,False,0,"Brown,P.J",True,"Vannucci,M",True,"---",False
,"0149",22,,930275,4,,"D","Transfer by orthogonal projection: making near-infrared calibrations robust to between-instrument variation.","72 (1)","51-56","Chemometrics and Intelligent Laboratory Systems",,"0169-7439",2004-Jun-01,,,"10.1016/j.chemolab.2004.02.004",,,,False,0,"Andrew,A",False,,,,
,"0149",22,,930275,3,,"D","Bayesian wavelet regression on curves with application to a spectroscopic calibration problem","96","398-408","Journal of the American Statistical Association",,"0162-1459",2001-Jun-01,,,"10.1198/016214501753168118",,,,False,0,"Brown,P.J",True,"Vannucci,M.",True,"---",False
,"0149",22,,930275,1,,"D","A Bayesian decision theory approach to variable selection for discrimination","12","253-260","Statistics and Computing",,"0960-3174",2002-Jul-01,,,"10.1023/A:1020702927247",,,,False,0,"Brown,P.J",True,"Besbeas,P.",True,"---",False
,"0149",22,,930277,2,,"D","Using chemistry-transport modelling in statistical analysis of stratospheric ozone trends from observations.","109","D22302","Journal of Geophysical Research",,"0148-0227",2004-Nov-01,,,"10.1029/2004JD005049",,,,False,0,"Stein,M.L",True,"Wuebbles,D.J",True,"Xia,J.",True
,"0149",22,,930277,3,,"D","Functional samples and bootstrap for predicting sulfur dioxide levels.","47 (2)","212-222","Technometrics",,"0040-1706",2005-May-01,,,"10.1198/004017005000000067",,,,False,0,"Fernandez de Castro,B",True,"Gonzalez Manteiga,W.",True,"---",False
,"0149",22,,930277,4,,"D","The inclusion of exogenous variables in functional autoregressive ozone forecasting.","13","759-774","Environmetrics",,"1180-4009",2002-Nov-01,,,"10.1002/env.527",,,,False,0,"Damon,J",True,"---",False,"---",False
,"0149",22,,930277,1,,"D","Doubly stochastic Hilbertian processes.","39 (3)","566-580","Journal of Applied Probability",,"0021-9002",2002-Sep-01,,,"10.1239/jap/1034082128",,,,False,0,,,,,,
,"0149",22,,930278,4,,"D","Distance-based parametric bootstrap tests for clustering of species ranges","45 (4)","875-895","Computational Statistics and Data Analysis",,"0167-9473",2004-May-01,,"http://www.elsevier.com/wps/find/journaldescription.cws_home/505539/description#description","10.1016/S0167-9473(03)00091-4",,,,True,1,"Hausdorf,B.",True,"---",False,"---",False
,"0149",22,,930278,3,,"D","<p>Asymmetric linear dimension reduction for classification</p>","13 (4)","930-945","Journal of Computational and Graphical Statistics",,"1061-8600",2004-Dec-01,,"http://www.amstat.org/publications/jcgs/index.cfm?fuseaction=main","10.1198/106186004X12740",,,,False,0,,,,,,
,"0149",22,,930278,2,,"D","<p>Clusters, outliers, and regression: fixed point clusters</p>","86 (1)","183-212","Journal of Multivariate Analysis",,"0047-259X",2003-Jul-01,,"http://www.elsevier.com/wps/find/journaldescription.cws_home/622892/description#description","10.1016/S0047-259X(02)00020-9",,,,False,0,,,,,,
,"0149",22,,930278,1,,"D","<p>Breakdown points for maximum likelihood-estimators of location-scale mixtures</p>","32 (4)","1313-1340","Annals of Statistics",,"0090-5364",2004-Aug-01,,"http://www.imstat.org/aos/","10.1214/009053604000000571",,,,False,0,,,,,,
,"0149",22,,930279,1,,"D","<p>Coalescence times and FST values in subdivided populations with symmetric structure</p>","35 (3)","665-690","Advances in Applied Probability",,"0001-8678",2003-Sep-01,,,"10.1239/aap/1059486823",,,,True,0,,,,,,
,"0149",22,,930279,3,,"H","<p>A stochastic model for head lice infections</p>",,,"Journal of Mathematical Biology",,"1432-1416",2007-Oct-01,,"http://www.springerlink.com/content/x00q166832h6745p/","10.1007/s00285-007-0136-0","Online version. Print version to appear in Journal of Mathematical Biology",,,False,0,"Isham,V.",False,"Stone,P",False,,
,"0149",22,,930279,2,,"D","<p>The effect of unequal migration rates on FST.</p>","66 (3)","185-197","Theoretical Population Biology",,"0040-5809",2004-Nov-01,,,"10.1016/j.tpb.2004.06.001",,,,True,0,"Ettridge,R.",False,,,,
,"0149",22,,930280,3,,"D","Population biology of multispecies helminth infection: interspecific interactions and parasite distribution.","131","417-433","Parasitology",,"0031-1820",2005-Sep-01,,,"10.1017/s0031182005007791",,,,False,0,"Bottomley,C",False,"Basanez,M-G.",True,"---",False
,"0149",22,,930280,1,,"D","Ultimate extinction of the bisexual, promiscuous Galton-Watson metapopulation.","46","87-98","Australian and New Zealand Journal of Statistics",,"1369-1473",2004-Mar-01,,,"10.1111/j.1467-842X.2004.00315.x",,,,False,1,"Cornell,S.J",True,"---",False,"---",False
,"0149",22,,930280,4,,"D","Point process models of rainfall: developments for fine-scale structure","463 (2086)","2569-2587","Proceedings of the Royal Society A",,"1364-5021",2007-Jan-01,,,"10.1098/rspa.2007.1889",,,,False,0,"Cowpertwait,P",True,"Onof,C.",True,"---",False
,"0149",22,,930280,2,,"D","Mathematical characterization of the space-time variability of soil moisture.","461","4035-4055","Proceedings of the Royal Society A",,"1364-5021",2005-Dec-01,,,"10.1098/rspa.2005.1568",,,,False,1,"Cox,D.R",True,"Rodriguez-Iturbe,I",True,"Porporato,A",True
,"0149",22,,930281,4,,"E","<p>Information-sharing models for flood frequency estimation.</p>","Hydrology: Science and Practice for the 21st Century","194-202",,"PDF",,2004-Jul-01,,,,,,,False,0,"Traiger,E.",True,,,,
,"0149",22,,930281,1,,"D","Likelihood-based approaches to flood frequency estimation.","292","96-113","Journal of Hydrology",,"0022-1694",2004-Jun-01,,,"10.1016/j.jhydrol.2003.12.031",,,,False,0,,,,,,
,"0149",22,,930281,3,,"D","Estimating the parameters of rainfall models using maximum marginal likelihood","5 (3/4)","173-183","Student",,"1420-1011",2006-Jun-01,,,,,,,False,1,"---",False,"---",False,"---",False
,"0149",22,,930281,2,,"D","Floods: some probabilistic and statistical approaches","360","1389-1408","Philosophical Transactions of the Royal Society A",,"1364-5021",2002-Jul-01,,,"10.1098/rsta.2002.1006",,,,False,0,"Isham,V",False,"Cox,D.R",True,"---",False
,"0149",22,,930282,1,,"D","Large-sample properties of the periodogram estimator of seasonally persistent processes.","91","613-628","Biometrika",,"0006-3444",2004-Sep-01,,,"10.1093/biomet/91.3.613",,,,False,0,"McCoy,E.J",True,"Stephens,D.A.",True,"---",False
,"0149",22,,930282,3,,"D","Multiple multidimensional Morse wavelets.","55","921-936","IEEE Transactions on Signal Processing",,"1053-587X",2007-Mar-01,,,"10.1109/TSP.2006.887562",,,,False,0,"Metikas,G",True,"---",False,"---",False
,"0149",22,,930282,4,,"D","Hyperanalytic denoising.","16","1522-1537","IEEE Transactions on Signal Processing",,"1053-587X",2007-Jun-01,,,"10.1109/TIP.2007.896633",,,,False,0,,,,,,
,"0149",22,,930282,2,,"D","A generalised demodulation approach to time-frequency projections for multi-component signals.","461","2159-2179","Proceedings of the Royal Society of London, Series A",,"1364-5021",2005-Jul-01,,,"10.1098/rspa.2005.1455",,,,False,0,"Walden,A.T.",True,"---",False,"---",False
,"0149",22,,930283,3,,"D","Constructing intervals for the intracluster correlation coefficient using Bayesian modelling, and application in cluster randomized trials","25 (9)","1443-1456","Statistics in Medicine",,"0277-6715",2006-May-01,,,"10.1002/sim.2304",,,,False,1,"Turner,R.M",True,"Thompson,S.G.",True,"---",False
,"0149",22,,930283,2,,"D","Bayesian methods of analysis for cluster randomised trials with binary outcome data","20","453-472","Statistics in Medicine",,"0277-6715",2001-Feb-01,,,"10.1002/1097-0258(20010215)20:3<453::AID-SIM803>3.0.CO;2-L",,,,False,1,"Turner,R.M",True,"Thompson,S.G.",True,"---",False
,"0149",22,,930283,1,,"D","A generic, simple risk stratification model for heart valve surgery","112","224-231","Circulation",,"0009-7322",2005-Jul-01,,,"10.1161/CIRCULATIONAHA.104.515049",,,,True,2,"Ambler,G",False,"Royston,P",False,"Kinsman,R",True
,"0149",22,,930283,4,,"D","Modelling multivariate outcomes in hierarchical data, with application to cluster randomised trials","48 (3)","333-345","Biometrical Journal",,"0323-3847",2006-Sep-01,,,"10.1002/bimj.200310147",,,,False,1,"Turner R. M",True,"Thompson S.G.",True,"---",False
,"0149",22,,930284,1,,"D","Flexible parametric proportional-hazards and proportional-odds models for censored survival data, with application to prognostic modelling and estimation of treatment effects.","21","2175-2197","Statistics in Medicine",,"0277-6715",2002-Aug-01,,,"10.1002/sim.1203",,,,False,1,"Parmar,MKB.",True,"---",False,"---",False
,"0149",22,,930284,3,,"D","Construction and validation of a prognostic model across several studies, with an application in superficial bladder cancer.","23 (6)","907-926","Statistics in Medicine",,"0277-6715",2004-Mar-01,,,"10.1002/sim.1691",,,,False,2,"Parmar,MKB",True,"Sylvester,R.",True,"---",False
,"0149",22,,930284,4,,"D","Evaluation of sample size and power for multi-arm survival trials allowing for non-uniform accrual, non-proportional hazards, loss to follow-up and cross-over","25 (15)","2521-2542","Statistics in Medicine",,"0277-6715",2006-Aug-01,,,"10.1002/sim.2517","Special paper celebrating the 25th Anniversary of Statistics in Medicine",,,False,3,"Barthel,FM-S",True,"Babiker,A",True,"Parmar,MKB.",True
,"0149",22,,930284,2,,"D","A new measure of prognostic separation in survival data.","23","723-748","Statistics in Medicine",,"0277-6715",2004-Mar-01,,,"10.1002/sim.1621",,,,False,1,"Sauerbrei,W.",True,"---",False,"---",False
,"0149",22,,930285,2,,"D","Equivalence of prospective and retrospective models in the Bayesian analysis of case-control studies","91 (1)","15-25","Biometrika",,"0006-3444",2004-Mar-01,,,"10.1093/biomet/91.1.15",,,,False,1,"Richardson,S.",True,"---",False,"---",False
,"0149",22,,930285,4,,"D","Bayesian analysis of case-control studies with categorical covariates","88 (4)","1073-1088","Biometrika",,"0006-3444",2001-Dec-01,,,"10.1093/biomet/88.4.1073",,,,False,1,"Richardson,S.",True,"---",False,"---",False
,"0149",22,,930285,3,,"D","A Bayesian partition model for case-control studies on highly polymorphic candidate genes","22 (4)","356-368","Genetic Epidemiology",,"0741-0395",2002-Apr-01,,,"10.1002/gepi.0197",,,,False,1,"Richardson,S",True,"Stucker,I",True,"Benhamou,S.",True
,"0149",22,,930285,1,,"D","Rapid simulation of P-values for product methods and multiple-testing adjustment in association studies","76 (3)","399-408","American Journal of Human Genetics",,"0002-9297",2005-Mar-01,,,"10.1086/428140",,,,False,1,"Muller-Myhsok,B.",True,"---",False,"---",False
,"0149",22,,930287,3,,"D","Real options valuation of US Federal energy efficiency and renewable energy research, development, demonstration and deployment","35 (1)","265-279","Energy Policy",,"0301-4215",2007-Jan-01,,,"10.1016/j.enpol.2005.11.019",,,,True,1,"Marnay,C",True,"Wiser,R.",True,"---",False
,"0149",22,,930287,2,,"D","Distributed generation with heat recovery and storage","133 (3)","181-210","Journal of Energy Engineering",,"0733-9402",2007-Sep-01,,,"10.1061/(ASCE)0733-9402(2007)133:3(181)",,,,True,1,"Marnay,C",True,"Firestone,R",True,"Zhou,N.",True
,"0149",22,,930287,1,,"D","Effects of a carbon tax on combined heat and power adoption by a microgrid","131 (1)","2-25","Journal of Energy Engineering",,"0733-9402",2005-Apr-01,,"http://ascelibrary.aip.org/getpdf/servlet/GetPDFServlet?filetype=pdf&id=JLEED9000131000001000002000001&idtype=cvips","10.1061/(ASCE)0733-9402(2005)131:1(2)",,,,True,3,"Marnay,C",True,"Edwards,J",True,"Firestone,R",True
,"0149",22,,930287,4,,"D","Operation of distributed generation under stochastic prices","3 (3)","439-458","Pacific Journal of Optimization",,"1348-9151",2007-Sep-01,,"http://www.ybook.co.jp/online/pjoe/vol3/pjov3n3p439.html",,,,,False,1,"Marnay,C.",True,"---",False,"---",False
,"0149",22,,930288,4,,"D","Nonsubjective priors via predictive relative entropy regret","34 (1)","441-468","Annals of Statistics",,"0090-5364",2006-Feb-01,,,"10.1214/009053605000000804",,,,False,1,"Datta,G. S",True,"Ghosh,M.",True,"---",False
,"0149",22,,930288,3,,"D","Application of a predictive distribution formula to Bayesian computation for incomplete data models","15 (3)","167-178","Statistics and Computing",,"0960-3174",2005-Jul-01,,"http://eprints.ucl.ac.uk/archive/00001577/","10.1007/s11222-005-1306-9",,,,False,1,"Kharroubi,S. A.",True,"---",False,"---",False
,"0149",22,,930288,2,,"D","On the implementation of local probability matching priors for interest parameters","92 (1)","47-57","Biometrika",,"0006-3444",2005-Mar-01,,"http://eprints.ucl.ac.uk/archive/00001575/","10.1093/biomet/92.1.47",,,,False,0,,,,,,
,"0149",22,,930288,1,,"D","<p>Coverage probability bias, objective Bayes and the likelihood principle</p>","88","657-675","Biometrika",,"0006-3444",2001-Oct-01,,,"10.1093/biomet/88.3.657",,,,False,0,,,,,,
,"0137",22,,216412,4,,"D","The square root process and Asian options","6 (4)","337-347","Quantitative Finance",,"1469-7688",2006-Aug-01,,,"10.1080/14697680600724775",,,,False,,"J. Nagaradjasarma",True,,,,
,"0137",22,,216708,1,,"D","AIC and BIC: Comparisons of assumptions and performance","33 (2)","188-229","Sociological Methods and Research",,"0049-1241",2004-Nov-01,,,"10.1177/0049124103262065",,,,False,,,,,,,
,"0137",22,,216708,2,,"D","Nonparametric analysis of factorial designs with random missingness: Bivariate data","101 (476)","1513-1526","Journal of the American Statistical Association",,"1537274X",2006-Dec-01,,,"10.1198/016214506000000537",,,,False,,"E.S. Antoniou",True,"M.G. Akritas",True,,
,"0137",22,,216708,3,,"D","A nonparametric approach to matched pairs with missing data","30 (3)","425-454","Sociological Methods and Research",,"0049-1241",2002-Feb-01,,,"10.1177/0049124102030003006",,,,False,,"D. W. Osgood",True,"M. G. Akritas",True,,
,"0137",22,,216708,4,,"D","Covariate measurement error in quadratic regression","71 (1)","131-150","International Statistical Review",,"1751-5823",2007-Jan-01,,,,,,,False,,"J. Temple",True,,,,
,"0137",22,,216624,1,,"D","Vasicek beyond the normal","14 (4)","585-604","Mathematical Finance",,"0960-1627",2004-Oct-01,,,"10.1111/j.0960-1627.2004.00206.x",,,,False,,,,,,,
,"0137",22,,216624,2,,"D","Anomalous PDE's in Markov chains: domains of validity and numerical solutions","9 (4)","519-537","Finance and Stochastics",,"0949-2984",2005-Oct-01,,,"10.1007/s00780-005-0157-8",,,,False,,,,,,,
,"0137",22,,216624,3,,"D","Power tailed ruin probabilities in the presence of risky investments","98 (2)","211-228","Stochastic Processes and their Applications",,"0304-4149",2002-Apr-01,,,"10.1016/S0304-4149(01)00148-X",,,,False,,"V. Kalashnikov",True,,,,
,"0137",22,,216624,4,,"D","What is the time value of a stream of investments?","42 (3)","861-866","Journal of Applied Probability",,"0021-9002",2005-Sep-01,,,"10.1239/jap/1127322033",,,,False,,"M. Steffensen",True,,,,
,"0137",22,,216758,1,,"D","An entropy approach to the Stein and Stein model with correlation","9 (3)","399-412","Finance and Stochastics",,"0949-2984",2005-Jul-01,,,"10.1007/s00780-004-0149-0",,,,False,,,,,,,
,"0137",22,,216758,2,,"D","On the minimal entropy martingale measure","30 (3)","1003-1038","Annals of Probability",,"0091-1798",2002-Jul-01,,,"10.1214/aop/1029867119",,,,False,,"P. Grandits",True,,,,
,"0137",22,,216758,3,,"D","Arbitrage opportunities in diverse markets via a non-equivalent measure change","2 (3)","287-301","Annals of Finance",,"1614-2446",2006-Jul-01,,,"10.1007/s10436-006-0037-z",,,,False,,"J. Osterrieder",True,,,,
,"0137",22,,216758,4,,"D","The minimal entropy martingale measure for general Barndorff-Nielsen/Shephard models","16 (3)","1319-1351","Annals of Applied Probability",,"1050-5164",2006-Aug-01,,,"10.1214/105051606000000240",,,,False,,"G. Steiger",True,,,,
,"0137",22,,216777,1,,"D","Multilevel logistic regression for polytomous data and rankings","68 (2)","267-287","Psychometrika",,"0033-3123",2003-Jun-01,,,"10.1007/BF02294801",,,,False,,"S. Rabe-Hesketh",True,,,,
,"0137",22,,216777,2,2004,"A","Generalized latent variable modeling: multilevel, longitudinal and structural equation models",,"528","Chapman & Hall/CRC",,"1584880007",,,,,"This book is the first to provide a truly unifying generalized approach to latent variable modeling.  It presents a uniform approach to enriching both theoretical and applied latent variables modeling that also can be used in any branch of natural science or technical and engineering application. The authors have written an imaginative and authoritative text on the difficult topic of modeling the problems of multivariate outcomes with different scaling levels, different units of analysis, and different study designs simultaneously. The treatment in the book provides an elegant and illuminating unification of concepts and models from diverse disciplines.",,,False,,"S. Rabe-Hesketh",True,,,,
,"0137",22,,216777,3,,"D","Maximum likelihood estimation of limited and discrete dependent variable models with nested random effects","128 (2)","301-323","Journal of Econometrics",,"0304-4076",2005-Oct-01,,,"10.1016/j.jeconom.2004.08.017",,,,False,,"A. Pickles",True,"S. Rabe-Hesketh",True,,
,"0137",22,,216777,4,,"D","Regression among factor scores","66 (4)","563-575","Psychometrika",,"0033-3123",2001-Dec-01,,,"10.1007/BF02296196",,,,False,,"P. Laake",True,,,,
,"0137",22,,216545,1,,"D","Semiparametric nonlinear time series model selection","66 (2)","321-336","Journal of the Royal Statistical Society - Series B: Statistical Methodology",,"1369-7412",2004-May-01,,,"10.1111/j.1369-7412.2004.05303.x",,,,False,,"J. Gao",True,,,,
,"0137",22,,216545,2,,"D","Testing for a linear MA model against threshold MA models","33 (6)","2259-2552","Annals of Statistics",,"0090-5364",2005-Dec-01,,,"10.1214/009053605000000598",,,,False,,"S. Ling",True,,,,
,"0137",22,,216545,3,,"D","An adaptive estimation of dimension reduction space","64 (3)","363-410","Journal of the Royal Statistical Society - Series B: Statistical Methodology",,"1467-9868",2002-Aug-01,,,"10.1111/1467-9868.03411",,,,False,,"L. Zhu",True,"W. K. Li",True,"Y. Xia",True
,"0137",22,,216545,4,,"D","Efficient estimation for semivarying-coefficient models","91 (3)","661-681","Biometrika",,"0006-3444",2004-Sep-01,,,"10.1093/biomet/91.3.661",,,,False,,"W. Zhang",True,"Y. Xia",True,,
,"0137",22,,216784,1,,"D","Bayesian posterior estimation of logit parameters with small samples","33 (1)","88-117","Sociological Methods and Research",,"0049-1241",2004-Aug-01,,,"10.1177/0049124104265997",,,,False,,"F. Galindo-Garre",True,"J.K. Vermunt",True,,
,"0137",22,,216784,2,,"D","On applications of marginal models for categorical data","LXII (I)","1-25","Metron",,"0026-1424",2004-Jan-01,,,,,,,False,,"T Rudas",True,,,,
,"0137",22,,216784,3,,"D","Marginal models for categorical data","30 (1)","140-159","Annals of Statistics",,"0090-5364",2002-Feb-01,,,"10.1214/aos/1015362188",,,,False,,"T. Rudas",True,,,,
,"0137",22,,216761,1,,"D","Liquidity risk and arbitrage pricing theory","8 (3)","311-341","Finance and Stochastics",,"0949-2984",2004-Aug-01,,,"10.1007/s00780-004-0123-x",,,,False,,"P. Protter",True,"R. Jarrow",True,,
,"0137",22,,216761,2,,"D","Modeling credit risk with partial information","14 (3)","1167-1178","Annals of Applied Probability",,"1050-5164",2004-Aug-01,,,"10.1214/105051604000000251",,,,False,,"P. Protter",True,"R. Jarrow",True,"Y. Yildirim",True
,"0137",22,,216761,3,,"D","Modeling liquidity effects in discrete time","17 (1)","15-29","Mathematical Finance",,"1467-9965",2006-Dec-01,,,"10.1111/j.1467-9965.2007.00292.x",,,,False,,"L.C.G. Rogers",True,,,,
,"0137",22,,216412,1,,"D","On the quantiles of the Brownian motion and their hitting times","11 (1)","29-36","Bernoulli",,"1350-7265",2005-Feb-01,,"http://isi.cbs.nl/bernoulli/abstracts/03069abs111.pdf",,,,,False,,,,,,,
,"0137",22,,216412,2,,"D","Pricing of catastrophe reinsurance and derivatives using the Cox process with shot noise intensity","7 (1)","73-95","Finance and Stochastics",,"0949-2984",2003-Jan-01,,,"10.1007/s007800200079",,,,False,,"J-W. Jang",True,,,,
,"0137",22,,216412,3,,"D","Kalman-Bucy filtering for linear systems driven by the Cox process with shot noise intensity and its application to the pricing of reinsurance contracts","42 (1)","93-107","Journal of Applied Probability",,"0021-9002",2005-Mar-01,,,"10.1239/jap/1110381373",,,,False,,"J-W. Jang",True,,,,
,"0137",22,,216737,1,,"D","Monomial ideals and the Scarf complex for coherent systems in reliability theory","32 (3)","1289-1311","Annals of Statistics",,"0090-5364",2004-Jun-01,,,"10.1214/009053604000000373",,,,False,,"B. Giglio",True,,,,
,"0137",22,,216737,2,,"D","Differential algebra methods for the study of the structural identifiability of rational function state-space models in the biosciences","174 (1)","1-26","Mathematical Biosciences",,"0025-5564",2001-Nov-01,,,"10.1016/S0025-5564(01)00079-7",,,,False,,"E. Riccomagno",True,"G. Margaria",True,"M.J. Chappell",True
,"0137",22,,216737,3,2001,"A","Algebraic statistics: computational commutative algebra in statistics",,"157","Chapman & Hall/CRC",,"1-58488-204-2",,,,,"The monograph helped to launch the area with the same title ""Algebraic Statistics"" and is credited as such.  It developed out of the initial paper by Pistone and Wynn (Biometrika 1996) in the area of design of experiment (DOE) and was also one of the first works to study probability and log-linear models from the algebraic geometry point of view. It has substantive material in all chapters which was new at the time of publication.
",,,False,,"E. Riccomagno",True,"G. Pistone",True,,
,"0137",22,,216737,4,,"D","Asymptotic behaviour of a family of gradient algorithms in Rd and Hilbert spaces","107 (3)","409-438","Mathematical Programming",,"0025-5610",2006-Jul-01,,,"10.1007/s10107-005-0602-7",,,,False,,"AA Zhigljavsky",True,"L Pronzato",True,,
,"0137",22,,216549,1,,"D","Adaptive varying-coefficient linear models","65 (1)","57-80","Journal of the Royal Statistical Society - Series B: Statistical Methodology",,"1467-9868",2003-Jan-01,,,"10.1111/1467-9868.00372",,,,False,,"J. Fan",True,"Z. Cai",True,,
,"0137",22,,216549,2,,"D","Inference in ARCH and GARCH models with heavy-tailed errors","71 (1)","285-317","Econometrica",,"1468-0262",2003-Nov-01,,,"10.1111/1468-0262.00396",,,,False,,"P. Hall",True,,,,
,"0137",22,,216732,1,,"D","<p>Optimal hitting time and perpetual option in a non-Levy model: application to real options</p>","39 (2)","510-530","Advances in Applied Probability",,"0001-8678",2007-Jun-01,,,,,,,False,,"N. Bellamy",True,,,,
,"0137",22,,216732,2,,"D","Inf-convolution of risk measures and optimal risk transfer","9 (2)","269-298","Finance and Stochastics",,"0949-2984",2005-Apr-01,,,"10.1007/s00780-005-0152-0",,,,False,,"N. El Karoui",True,,,,
,"0137",22,,216732,3,,"D","A study of the Hartmann-Watson distribution motivated by numerical problems related to the pricing of Asian options","41 (4)","1049-1058","Journal of Applied Probability",,"0021-9002",2004-Dec-01,,,"10.1239/jap/1101840550",,,,False,,"A. Rounault",True,"M. Yor",True,,
,"0137",22,,216732,4,,"D","Iterates of the infinitesimal generator and space-time harmonic polynomials of a Markov process","186 (1)","300-323","Journal of Computational and Applied Mathematics",,"0377-0427",2006-Feb-01,,,"10.1016/j.cam.2005.04.014",,,,False,,"W. Schoutens",True,,,,
,"0137",22,,216549,3,,"D","Approximating conditional distribution functions using dimension reduction","33 (3)","1404-1421","Annals of Statistics",,"0090-5364",2005-Jun-01,,,"10.1214/009053604000001282",,,,False,,"P. Hall",True,,,,
,"0137",22,,216549,4,,"D","Least absolute deviations estimation for ARCH and GARCH models","90 (4)","967-975","Biometrika",,"0006-3444",2003-Dec-01,,,"10.1093/biomet/90.4.967",,,,False,,"L. Peng",True,,,,
,"0137",22,,216761,4,,"D","Insider trading in an equilibrium model with default: a passage from reduced-form to structural modelling","11 (4)","591-602","Finance and Stochastics",,"0949-2984",2007-May-01,,"http://www.math.ethz.ch/~finasto/",,"Forthcoming paper in Finance and Stochastics, available on publisher's website",,,False,,"Campi, L",True,,,,
,"0137",22,,216504,2,,"D","Factor analysis of ordinal variables: a comparison of three approaches","36 (3)","347-387","Multivariate Behavioural Research",,"0027-3171",2001-Jan-01,,,"10.1207/S15327906347-387",,,,False,,"Joreskog, K G",True,,,,
